"Title","Places","Image","Location","Time","Info"
"List of World Heritage Sites in India","Khajuraho Group of Monuments","https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Khajuraho5.jpg/100px-Khajuraho5.jpg","Madhya Pradesh, India","950 AD to 1050 AD","The Khajuraho Group of Monuments attributed to the Chandela dynasty which, under sovereignty of Gurjar Pratihars reached its glory. The ensemble of monuments that have survived belong to the Hindu and Jain Religious practices with striking fusion of sculpture and architecture; the best example of this outstanding feature is seen in theKandariya Temple. Of the 85 temples built, only 22 temples have survived in an area of 6 km2, which represents the Chandela period of the 10th century. Located in the Indian state of Madhya Pradesh, it was inscribed by UNESCO as a World Heritage site, a cultural property on October 15, 1982, for its unique original artistic creation and proof of the Chandela Culture that existed prior to the Muslim invasion of India in the early 12th century.[29][30]"
"List of World Heritage Sites in India","Group of Monuments at Hampi","https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Hampi_virupaksha_temple.jpg/100px-Hampi_virupaksha_temple.jpg","Ballari district, Karnataka, India","14th and 16th centuries","The Group of Monuments at Hampi comprise a sombre but ostentatious Hampi town, on the banks of the river Tungabhadra in Karnataka. Hampi subsumes the ruins of Vijayanagara, which was the former capital of the powerful Vijayanagara Empire. Dravidian temples and palaces abound in Hampi. These won the admiration of travellers between the 14th and 16th centuries. Hampi, as an important Hindu and Jain religious centre, has the Virupaksha Temple (different from Pattadakal's Virupaksha Temple) and several other monuments, which are part of the cultural heritage site inscribed under category (i), (iii) and (iv) in the UNESCO World Heritage List.[31][32]"
"List of World Heritage Sites in India","Fatehpur Sikri","https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Fatehpur_Sikri_Panch_Mahal.jpg/100px-Fatehpur_Sikri_Panch_Mahal.jpg","Uttar Pradesh, India","16th century","Fatehpur Sikri, ""the City of Victory,"" was built during the second half of the 16th century by the Mughal Emperor Akbar (1556–1605). It was the capital of the Empire and seat of the grand Mughal court but only for 14 years. Despite bearing exceptional testimony to the Mughal civilization at the end of the 16th century, it had to be abandoned due to the twin reasons of lack of water and unrest in north-west India, leading the emperor to shift the capital to Lahore. Akbar decided to construct it in 1571, on the same site where the birth of his son, the future Emperor Jahangir, was predicted by the wise saint Shaikh Salim Chisti (1480–1572). The work, supervised by the great Mughal himself, was completed in 1573. The complex of monuments and temples, all uniformly in Mughal architectural style, includes one of the largest mosques in India, the Jama Masjid, the Buland Darwaza, the Panch Mahal, and the Tomb of Salim Chishti. The English traveller Ralph Fitch considered the city in 1585 as 'considerably larger than London and more populous.' Its form and layout strongly influenced the evolution of Indian town planning, notably at Shahjahanabad (Old Delhi). The city has numerous other palaces, public buildings and mosques, as well as living areas for the court, the army, servants of the king and for an entire population whose history has not been recorded.[33][34]"
"List of World Heritage Sites in India","Group of Monuments at Pattadakal","https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Group_of_monuments_At_Pattadakal.jpg/100px-Group_of_monuments_At_Pattadakal.jpg","Bagalkot District, Karnataka, India","8th century","The Group of monuments in Pattadakal designated under UNESCO World Heritage List, in 1987, cover a remarkable series of nine Hindu temples, as well as a Jain sanctuary in northern Karnataka. In this group of temples, the Virupaksha Temple, built c. 740 by Queen Lokamahadevi to commemorate her husband's (King Vikramaditya II) victory over the Pallava kings from the south, is considered the most outstanding architectural edifice (This is different from the Virupaksha Temple at Hampi.) These are a remarkable combination of temples built by the Chalukya Dynasty in the 6th to the 8th century at Aihole, Badami and Pattadakal, the latter city was known as the ""Crown Rubies"". The temples represent a remarkable fusion of the architectural features of northern (Nagara) and southern (Dravida) India. Pattadakal is considered a Hindu holy city and within the heritage complex are eight temples dedicated to Shiva, a ninth shaivite sanctuary called the Papanatha Temple, and a Jain Narayana temple.[35][36]"
"List of World Heritage Sites in India","Elephanta Caves","https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Elephanta_Caves%2C_Mumbai.jpg/100px-Elephanta_Caves%2C_Mumbai.jpg","Maharashtra, India","5th to 8th centuries","The Elephanta Caves are a network of sculpted caves located on Elephanta Island, or Gharapuri (literally ""the city of caves"") in Mumbai Harbour, 10 kilometres (6.2 mi) to the east of the city of Mumbai. The island, located on an arm of the Arabian Sea, consists of two groups of caves — the first is a large group of five Hindu caves, the second, a smaller group of two Buddhist caves. The Hindu caves contain rock cut stone sculptures, representing the Shaiva Hindu sect, dedicated to the god Shiva. The rock-cut architecture of the caves is dated to between the 5th and 8th centuries, although the identity of the original builders is still a subject of debate. The caves are hewn from solid basalt rock. Renovated in the 1970s, the caves were designated a World Heritage site in 1987 to preserve the artwork.[37][38]"
"List of World Heritage Sites in India","Great Living Chola Temples","https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Chola_sculpture.jpg/100px-Chola_sculpture.jpg","Brihadeeswarar temple, Gangaikonda Cholapuram, Tamil Nadu, India","11th and 12th century","The Great Living Chola Temples, built by kings of the Chola Empire stretched over all of Tamil Nadu. This cultural heritage site includes three great temples of the 11th and 12th centuries namely, the Brihadisvara Temple at Thanjavur, the Brihadisvara Temple at Gangaikondacholisvaram and the Airavatesvara Temple at Darasuram. The Temple of Gangaikondacholisvaram, built by Rajendra I, was completed in 1035. Its 53 metres (174 ft) vimana (sanctum tower) has recessed corners and a graceful upward curving movement, contrasting with the straight and severe tower at Thanjavur. The Airavatesvara temple complex, built by Rajaraja II, at Darasuram features a 24 metres (79 ft) vimana and a stone image of Shiva. The temples testify to the brilliant achievements of the Chola in architecture, sculpture, painting and bronze casting. The site was inscribed under UNESCO World Heritage List in 1987 as Cultural heritage under criteria (ii) and (iii).[39][40]"
"List of World Heritage Sites in India","Airavateshwarar Temple, Darasuram, Tamil Nadu, India",,,,
"List of World Heritage Sites in India","Brihadeeswarar Temple, Thanjavur, Tamil Nadu, India",,,,
"List of World Heritage Sites in India","Sundarbans National Park","https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Sunderbans_map.png/100px-Sunderbans_map.png","West Bengal (India)","1939 and 1982","The Sundarbans National Park, the largest estuarine mangrove forest in the world is a national park, tiger reserve, World Heritage site and a biosphere reserve located in the Sundarbans Ganges river delta bordering the Bay of Bengal, in West Bengal. It is also on the UNESCO World Network of Biosphere Reserves. The Sundarbans as a whole encompasses 10,000 km2 (3,900 sq mi) of land and water, about 5,980 km2 (2,310 sq mi) in Bangladesh and the balance is in India. It is integral to the world's largest delta of 80,000 km2 formed from sediments deposited by the three great rivers, the Ganges, the Brahmaputra and the Meghna, which confluence in the Bengal Basin. The entire basin is traversed by a complex network of interconnecting waterways. Though, the history of protection in the area of Indian part of the Sundarbans dates back to 1878, it was declared as the core area of Sundarbans Tiger Reserve in 1973, and a wildlife sanctuary in 1977 of 133,000-hectare core area within the 258,500 hectares (639,000 acres) Sundarbans Tiger Reserve. On May 4, 1984, it was declared a National Park. It was inscribed on the UNESCO World Heritage list in 1987 as a natural property under category (ix) and (x). This region is densely covered by mangrove forests, and is one of the largest reserves for the Bengal tiger. It is also home to a variety of bird, reptile and invertebrate species, including the salt-water crocodile.[41][42]"
"List of World Heritage Sites in India","Nanda Devi and Valley of Flowers National Parks","https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Valley_of_flowers_uttaranchal_full_view.JPG/100px-Valley_of_flowers_uttaranchal_full_view.JPG","Chamoli District, Uttarakhand, India","1939 and 1982","The Nanda Devi and Valley of Flowers National Parks are nestled high in West Himalaya. Valley of Flowers National Park is renowned for its meadows of endemic alpine flowers and outstanding natural beauty. It is located in the Garhwal Himalaya of Chamoli District of Uttarakhand. This richly diverse area is also home to rare and endangered animals, including the Asiatic black bear, snow leopard, brown bear and blue sheep. The gentle landscape of the Valley of Flowers National Park complements the rugged mountain wilderness of Nanda Devi National Park. Together, they encompass a unique transition zone between the mountain ranges of the Zanskar and Great Himalaya. The park stretches over an expanse of 87.5 km2 (33.8 sq mi). It was established as a national park on November 6, 1982. However, it was initially established as a game sanctuary on January 7, 1939. It was inscribed under the UNESCO World Heritage List in 1988 with extension in 2005 under category (vii) and (x).[43][44] Together, they comprise the Nanda Devi Biosphere Reserve, which is on the UNESCO World Network of Biosphere Reserves since 2004."
"List of World Heritage Sites in India","Buddhist Monuments at Sanchi","https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Sanchi.jpg/100px-Sanchi.jpg","Madhya Pradesh, India","2nd and 1st centuries BC to the 12th century AD","The Buddhist Monuments at Sanchi, located 45 kilometres (28 mi) from Bhopal in the Indian state of Madhya Pradesh are a group of Buddhist monuments dated between 200 BC and 100 BC. The site, however, has been conjectured to have been developed in the 3rd century BC, when Emperor Ashoka of the Mauryan Empire ruled. The principal monument is Stupa 1 dated to the 2nd century and 1st century BC. These Buddhist sanctuaries were active Buddhist religious monuments, which flourished until the 12th century. The sanctuary has a plethora of monolithic pillars, palaces, temples and monasteries in different status of preservation. It was inscribed as a World Heritage site by UNESCO on January 24, 1989, for its unique cultural importance. It was discovered only in 1818 in a deserted state of preservation. Archaeological excavations undertaken thereafter revealed 50 unique monuments.[45][23][46]"
"List of World Heritage Sites in India","Humayun's Tomb, Delhi","https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Tomb_of_Humayun%2C_Delhi.jpg/100px-Tomb_of_Humayun%2C_Delhi.jpg","Delhi, India","1572","Humayun's Tomb, Delhi, the first tomb built with several innovations, set at the centre of luxurious gardens with water channels, was the precursor monument to the Taj Mahal (built a century later). It was built in 1570 and was inscribed as a UNESCO World Heritage Monument in 1993 for its cultural importance. It was built in 1569–1570 by the second Mughal Emperor Humayun's widow Biga Begum (Hajji Begum). Its architecture is credited to Mirza Ghiyath and its Mughal architectural style has been acclaimed as the ""necropolis of the Mughal dynasty"" for its double domed elevation provided with Chhatris. Apart from the tomb of Humayun, the funerary also has 150 tombs of various members of the royal family. The tomb is built with a char-bagh (fourfold) layout with two gates, one on the south and the other on the west. It has a number of water channels, a pavilion and a bath. The tomb set on an irregular octagonal plinth has a raised dome of Template:Convertt in height, covered by marble slabs and decorated with chhatris.[47][48]"
"List of World Heritage Sites in India","Qutb Minar and its Monuments, Delhi","https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Qutub_minar.JPG/100px-Qutub_minar.JPG","Delhi, India","Late 12th century","The Qutb Minar and its Monuments, Delhi, located to the south of Delhi, is a complex with the Qutb Minar as the centre piece, which is a red sandstone tower of 72.5 metres (238 ft) height with a base of 14.32 metres (47.0 ft) reducing to 2.75 metres (9.0 ft) diameter at the top. Built in the beginning of the 13th century, the complex of structures comprises itineraries, the Alai Darwaza Gate (1311), the Alai Minar (an incomplete mound of the intended Minar or tower), the Qubbat-ul-Islam Mosque (the earliest existing mosque in India), the tomb of Iltumish, and an Iron Pillar.  The complex is a testimony to the Islamic depredations during the period as seen from the materials used for building the complex which are those that were removed after destroying Hindu and Jain temples; a shining iron pillar of 7.02 metres (23.0 ft) height (without any trace of rusting) erected at the centre of the complex, with inscriptions in Sanskrit, of the Chandra Gupta II period is a moot witness. History records its construction, initially by Qutubuddin Aibak in 1192, its completion by Iltumish (1211–36) and again by Alauddin Khalji (1296–1316). It underwent several renovations by subsequent rulers, following damage to the structures due to lightning. It was inscribed under the UNESCO World Heritage List under category iv for its unique representation of the Islamic architectural and artistic excellence.[49][50]"
"List of World Heritage Sites in India","Mountain Railways of India","https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Darjeelinghimalayanrailway.jpg/100px-Darjeelinghimalayanrailway.jpg","Darjeeling Himalayan Railway (1999), Darjeeling, West Bengal, India","19th and early 20th centuries","The Mountain Railways of India represent a collective listing of the Darjeeling Himalayan Railway, the Nilgiri Mountain Railway and the Kalka-Shimla Railway under the UNESCO World Heritage site. Two railways, the Darjeeling Himalayan Railway (1881) and the Kalka-Shimla Railway (1898) are located in the rugged hill regions of the Himalayas of Northern India and the other two, the Nilgiri Mountain Railway (1908) and the Matheran Hill Railway (1907) are located in the rugged hill regions of the Western Ghats of Southern India. The World Heritage UNESCO recognition of these mountain railways of India has been stated as for being ""outstanding examples of bold, ingenious engineering solutions for the problem of establishing an effective rail link through a rugged, mountainous terrain"". The Darjeeling Himalayan Railway was recognized first in 1999, the Nilgiri Mountain Railway followed suite as an extension to the site in 2005, and in 2008 the Kalka–Shimla Railway was further added as an extension; and the three together have been titled as Mountain Railways of India under Criteria: ii, iv under the region in the Asia-Pacific. The claim of the Matheran Hill Railway, the fourth mountain railway, is pending acceptance by the international body.[51][52]"
"List of World Heritage Sites in India","Nilgiri Mountain Railway (2005) Ooty, Tamil Nadu, India",,,,
"List of World Heritage Sites in India","Kalka-Shimla Railway, Himachal Pradesh (2008)India",,,,
"List of World Heritage Sites in India","Mahabodhi Temple Complex at Bodh Gaya","https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Mahabodhitemple.jpg/100px-Mahabodhitemple.jpg","Bihar, India","3rd century BC, 5th and 6th century AD and 19th century","The Mahabodhi Temple Complex at Bodh Gaya (Buddha Gaya), spread over an area of 4.86 hectares (12.0 acres) was inscribed in the UNESCO World Heritage List i as a unique property of cultural and archaeological importance. The first temple was built by Emperor Ashoka in the 3rd century BC (260 BC) around the Bodhi Tree Ficus religiosa (to the west of the temple). However, the temples seen now are dated between 5th and 6th centuries AD. The structures have been built in bricks. Revered and sanctified as the place where Siddhartha Gautama Buddha was enlightened in 531 BC at age 35, and then propagated his divine knowledge of Buddhism to the world, it has been the ultimate temple for reverential worship, over the last several centuries, by Buddhists of all denominations, from all over the world who visit on pilgrimage. The main temple is 50 metres (160 ft) in height, built in Indian architectural style, dated between 5th and 6th centuries, and it is the oldest temple in the Indian sub-continent built during the ""Golden Age"" of Indian culture credited to the Gupta period. Sculpted balustrades of the Ashokan times (3rd century BC) are preserved in the Archaeological Museum located within the temple complex.[53][54]"
"List of World Heritage Sites in India","Rock Shelters of Bhimbetka","https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Bhimbetka_Cave_Paintings.jpg/100px-Bhimbetka_Cave_Paintings.jpg","Madhya Pradesh, India","30,000 years","The Rock Shelters of Bhimbetka described in the UNESCO Inscription as ""the site complex … a magnificent repository of rock paintings within natural rock shelters"" is located in the foothills of the Vindhya range of hills in the Central Indian state of Madhya Pradesh. It is spread in sandstone formations extending over an area of 1893 ha with a buffer zone 10,280 hectares (25,400 acres). The rock shelters, discovered only in 1957, comprise a group of ""five clusters of rock shelters"" with paintings that are inferred to date from the ""Mesolithic period right through to the Historical period"", with the 21 villages surrounding them reflecting the traditions displayed in the rock paintings. The unique rock art has been discovered in 400 painted shelters spread over an area of 1,892 ha amidst dense forest with high diversity of flora and fauna, with some of the shelters dated from 100,000 BC (Late Acheulian) to 1000 AD. It was inscribed as a World Heritage site by UNESCO in 2003 as a unique cultural property representing a convergence displayed in the art form between the people and the landscape with links to the hunting gathering economy of the past.[23][55][56]"
"List of World Heritage Sites in India","Chhatrapati Shivaji Terminus (formerly Victoria Terminus)","https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Chhatrapati_Shivaji_Terminus_%28Victoria_Terminus%29.jpg/100px-Chhatrapati_Shivaji_Terminus_%28Victoria_Terminus%29.jpg","Maharashtra, India","1887–1888","The Chhatrapati Shivaji Terminus is a historic railway station in Mumbai, which serves as the headquarters of the Central Railways. It is one of the busiest railway stations in India, and serves Central Railway trains terminating in Mumbai as well as the Mumbai Suburban Railway. The station was designed by Frederick William Stevens, a consulting architect in 1887–1888. It took ten years to complete and was named ""Victoria Terminus"" in honour of the Queen and Empress Victoria; it was opened on the date of her Golden Jubilee in 1887. This famous architectural landmark in Gothic style was built as the headquarters of the Great Indian Peninsular Railway. In 1996, in response to demands by the Shiv Sena, and in keeping with the policy of renaming locations with Indian names, the station was renamed by the state government after Chatrapati Shivaji, the famed 17th-century Maratha king. On July 2, 2004, the station was nominated as a World Heritage site by the World Heritage Committee of UNESCO.[57][58]"
"List of World Heritage Sites in India","Champaner-Pavagadh Archaeological Park","https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Top_of_Pavadagh_hill.JPG/100px-Top_of_Pavadagh_hill.JPG","Gujarat, India","Prehistoric and 8th to 14th centuries","Champaner-Pavagadh Archaeological Park is situated in the Panchmahal district in Gujarat, India. It was inscribed as a UNESCO World Heritage site in 2004 as a cultural site. There is a concentration of largely unexcavated archaeological, historic and living cultural heritage properties cradled in an impressive landscape which includes prehistoric (chalcolithic) sites, a hill fortress of an early Hindu capital, and remains of the 16th-century capital of the state of Gujarat. The site also includes, among other vestiges, fortifications, palaces, religious buildings, residential precincts, agricultural structures and water installations, from the 8th to the 14th centuries. The Kalikamata Temple and Jain Temple on top of the Pavagadh Hill is considered to be an important shrine, attracting large numbers of pilgrims throughout the year. The site is the only complete and unchanged Islamic pre-Mughal city.[59][60]"
